,Win_Rate/self_play,depth_fre/game_iter_50,resource/width,resource/width_ratio,_step,resource/total_resource_usage,_timestamp,entropy,depth_fre/game_iter_10,resource/remain_resource,resource/depth,depth_fre/game_iter_31,resource/remain_resource_ratio,resource/depth_resource_usage,Win_Rate/Evaluate,resource/depth_ratio,depth_fre/game_iter_1,depth_fre/game_iter_20,resource/width_resource_usage,depth_fre/game_iter_100,_runtime,loss
0,,,,,8,,1736276694.7962537,,,,,,,,,,2.0,,,,3.5409996509552,
1,,,,,559,,1736276696.322255,,,,,,,,,,2.0,,,,5.067000865936279,
2,,,,,672,,1736276696.6112554,,,,,,,,,,2.0,,,,5.356001377105713,
3,,,,,1348,,1736276698.3582556,,,,,,,,,,2.0,,,,7.103001594543457,
4,,,,,1769,,1736276699.4242554,,,,,,,,,,2.0,,,,8.169001340866089,
5,,,1944.0,0.9597630214761788,2260,4050.0,1736276700.5512555,,,1782.0,81.0,,0.3055555555555556,162.0,,0.03999012589484078,,,3888.0,,9.296001434326172,
6,,,1539.0,0.9498045669615306,2279,4860.0,1736276700.5972555,,,972.0,81.0,,0.16666666666666666,243.0,,0.04998971405060687,,,4617.0,,9.34200143814087,
7,,,,,3378,,1736276703.292256,,,,,,,,,,2.0,,,,12.037002086639404,
8,,,,,5733,,1736276709.6252546,,,,,,,,,,2.0,,,,18.37000060081482,
9,,,2592.0,0.9699705232129698,7376,5427.0,1736276713.8987713,,,405.0,81.0,,0.06944444444444445,162.0,,0.02984524686809138,,,5265.0,,22.64351725578308,
10,,,,,7524,,1736276714.3057706,,,,,,,,,,2.0,,,,23.050516605377197,
11,,,,,7576,,1736276714.4837701,,,,,,,,,,4.0,,,,23.228516101837158,
12,,,,,7690,,1736276714.7847707,,,,,,,,,,1.0,,,,23.52951669692993,
13,,,1944.0,0.9605517909002904,7719,4131.0,1736276714.8517714,,,1701.0,81.0,,0.2916666666666667,162.0,,0.03920619554695063,,,3969.0,,23.596517324447632,
14,,,2835.0,0.9718889269797737,8778,2916.0,1736276719.7456255,,,2916.0,81.0,,0.5,81.0,,0.027768255056564963,,,2835.0,,28.490371465682983,
15,,,2511.0,0.968563162970106,8919,5184.0,1736276720.7372587,,,648.0,81.0,,0.1111111111111111,162.0,,0.03124397299903568,,,5022.0,,29.482004642486572,
16,,,2025.0,0.9620400558919422,9542,4293.0,1736276726.2018917,,,1539.0,81.0,,0.2638888888888889,162.0,,0.03772706101537028,,,4131.0,,34.94663763046265,
17,,,1620.0,0.9521943573667712,9951,5103.0,1736276729.4078894,,,729.0,81.0,,0.125,243.0,,0.04760971786833856,,,4860.0,,38.15263533592224,
18,,,1944.0,0.9597630214761788,9990,4050.0,1736276729.6988912,,,1782.0,81.0,,0.3055555555555556,162.0,,0.03999012589484078,,,3888.0,,38.44363713264465,
19,,,2025.0,0.9620400558919422,12066,4293.0,1736276745.0875285,,,1539.0,81.0,,0.2638888888888889,162.0,,0.03772706101537028,,,4131.0,,53.832274436950684,
20,,,2673.0,0.9708407871198569,12634,5589.0,1736276748.8651488,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,57.60989475250244,
21,,,1620.0,0.9529411764705882,12892,5184.0,1736276750.442488,,,648.0,81.0,,0.1111111111111111,243.0,,0.04686595949855352,,,4941.0,,59.18723392486572,
22,,,1782.0,0.9569740786457415,12907,5670.0,1736276750.5250013,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,59.269747257232666,
23,,,1863.0,0.9589420654911839,13726,3969.0,1736276756.2712924,,,1863.0,81.0,,0.3194444444444444,162.0,,0.040806045340050376,,,3807.0,,65.01603841781616,
24,,,1863.0,0.9589420654911839,14387,3969.0,1736276760.6242623,,,1863.0,81.0,,0.3194444444444444,162.0,,0.040806045340050376,,,3807.0,,69.3690083026886,
25,,,2673.0,0.9708407871198569,15870,5589.0,1736276770.501803,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,79.2465488910675,
26,,,2511.0,0.969046714774022,15889,5265.0,1736276770.6098037,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,79.35454964637756,
27,,,2592.0,0.9699705232129698,16018,5427.0,1736276771.603804,,,405.0,81.0,,0.06944444444444445,162.0,,0.02984524686809138,,,5265.0,,80.34855008125305,
28,,,2187.0,0.9647033347769597,18927,4617.0,1736276791.7060633,,,1215.0,81.0,,0.20833333333333334,162.0,,0.035080121264616716,,,4455.0,,100.45080924034119,
29,,,2835.0,0.9718889269797737,20515,2916.0,1736276802.261062,,,2916.0,81.0,,0.5,81.0,,0.027768255056564963,,,2835.0,,111.00580787658691,
30,,,1296.0,0.9418604651162791,21659,5589.0,1736276810.1439617,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,118.88870763778687,
31,,,1863.0,0.9597630214761788,21673,4050.0,1736276810.2249608,,,1782.0,81.0,,0.3055555555555556,162.0,,0.03999012589484078,,,3888.0,,118.96970677375793,
32,,,2025.0,0.9620400558919422,21769,4293.0,1736276810.9345887,,,1539.0,81.0,,0.2638888888888889,162.0,,0.03772706101537028,,,4131.0,,119.67933464050293,
33,,,2916.0,0.9726484322881921,23039,2997.0,1736276820.6390762,,,2835.0,81.0,,0.4861111111111111,81.0,,0.027018012008005337,,,2916.0,,129.3838222026825,
34,,,1944.0,0.9605517909002904,23229,4131.0,1736276821.7676866,,,1701.0,81.0,,0.2916666666666667,162.0,,0.03920619554695063,,,3969.0,,130.51243257522583,
35,,,1215.0,0.9382833270034181,25144,5265.0,1736276834.7340736,,,567.0,81.0,,0.09722222222222222,324.0,,0.06152677554120775,,,4941.0,,143.47881960868835,
36,,,1944.0,0.9605517909002904,25946,4131.0,1736276839.837073,,,1701.0,81.0,,0.2916666666666667,162.0,,0.03920619554695063,,,3969.0,,148.5818190574646,
37,,,2673.0,0.9708407871198569,26089,5589.0,1736276840.782073,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,149.5268189907074,
38,,,2835.0,0.9718889269797737,26327,2916.0,1736276842.4860728,,,2916.0,81.0,,0.5,81.0,,0.027768255056564963,,,2835.0,,151.23081874847412,
39,,,2268.0,0.9658995815899581,27058,4779.0,1736276848.4387078,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,157.18345379829407,
40,,,1701.0,0.9550478997789241,27751,5427.0,1736276853.7007077,,,405.0,81.0,,0.06944444444444445,243.0,,0.04476787030213707,,,5184.0,,162.44545364379883,
41,,,1944.0,0.9605517909002904,28809,4131.0,1736276860.271343,,,1701.0,81.0,,0.2916666666666667,162.0,,0.03920619554695063,,,3969.0,,169.01608896255493,
42,,,1782.0,0.9569740786457415,29078,5670.0,1736276861.825006,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,170.56975197792053,
43,,,729.0,0.8998412978310704,29539,5670.0,1736276864.6276557,,,162.0,81.0,,0.027777777777777776,567.0,,0.09998236642567448,,,5103.0,,173.37240171432495,
44,,,,,30582,,1736276868.5272908,,2.0,,,,,,,,,,,,177.27203679084778,
45,,,972.0,0.9240695717224612,30869,5346.0,1736276869.0312898,,,486.0,81.0,,0.08333333333333333,405.0,,0.07574340751823452,,,4941.0,,177.77603578567505,
46,,,2673.0,0.9708407871198569,32039,5589.0,1736276871.2783203,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,180.02306628227234,
47,,,1053.0,0.929623213512343,32905,4617.0,1736276872.8569474,,,1215.0,81.0,,0.20833333333333334,324.0,,0.07016024252923343,,,4293.0,,181.60169339179993,
48,,,2430.0,0.968064263322884,33596,5103.0,1736276874.1989474,,,729.0,81.0,,0.125,162.0,,0.031739811912225704,,,4941.0,,182.94369339942932,
49,,,,,33832,,1736276874.631947,,1.0,,,,,,,,,,,,183.3766930103302,
50,,,1620.0,0.9529411764705882,36015,5184.0,1736276878.8041084,,,648.0,81.0,,0.1111111111111111,243.0,,0.04686595949855352,,,4941.0,,187.5488543510437,
51,,,2187.0,0.9647033347769597,37243,4617.0,1736276884.0547361,,,1215.0,81.0,,0.20833333333333334,162.0,,0.035080121264616716,,,4455.0,,192.79948210716248,
52,,,1296.0,0.9418604651162791,38310,5589.0,1736276890.0895383,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,198.8342843055725,
53,,,2106.0,0.9634201077199281,38456,4455.0,1736276890.9335406,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,199.6782865524292,
54,,,2268.0,0.9658995815899581,39160,4779.0,1736276894.9047093,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,203.64945530891418,
55,,,2268.0,0.9658995815899581,39702,4779.0,1736276898.4027092,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,207.1474552154541,
56,,,1701.0,0.9550478997789241,40256,5427.0,1736276901.90722,,,405.0,81.0,,0.06944444444444445,243.0,,0.04476787030213707,,,5184.0,,210.65196585655212,
