,planning_depth/game_iter_1,resource/total_planning_depth,entropy,resource/width_resource_usage,Win_Rate/self_play,resource/total_resource_usage,resource/width_ratio,planning_depth/game_iter_31,resource/depth_resource_usage,resource/depth_ratio,planning_depth/game_iter_100,resource/width,planning_depth/game_iter_10,planning_depth/game_iter_20,planning_depth/game_iter_50,Win_Rate/Evaluate,resource/depth,_timestamp,_runtime,loss,_step
0,2.0,,,,,,,,,,,,,,,,,1736066265.4608507,1.511304508,,147
1,2.0,,,,,,,,,,,,,,,,,1736066267.1149504,3.165383881,,1286
2,2.0,,,,,,,,,,,,,,,,,1736066267.520728,3.5711490809999997,,1577
3,2.0,,,,,,,,,,,,,,,,,1736066268.5091062,4.559527676,,2270
4,2.0,,,,,,,,,,,,,,,,,1736066268.738354,4.788784815,,2433
5,2.0,,,,,,,,,,,,,,,,,1736066268.7536101,4.804044447,,2444
6,2.0,,,,,,,,,,,,,,,,,1736066270.913413,6.963851967,,3915
7,2.0,,,,,,,,,,,,,,,,,1736066274.6076937,10.658116098,,6288
8,2.0,,,,,,,,,,,,,,,,,1736066275.398601,11.449021676,,6841
9,2.0,,,,,,,,,,,,,,,,,1736066275.405152,11.455590206,,6845
10,2.0,,,,,,,,,,,,,,,,,1736066276.1396606,12.190076571,,7284
11,2.0,,,,,,,,,,,,,,,,,1736066280.4752572,16.525695203,,10173
12,2.0,,,,,,,,,,,,,,,,,1736066281.1221635,17.172600981,,10616
13,2.0,,,,,,,,,,,,,,,,,1736066281.1324186,17.182857475,,10624
14,2.0,,,,,,,,,,,,,,,,,1736066281.1410987,17.191538146,,10629
15,2.0,,,,,,,,,,,,,,,,,1736066281.5541801,17.604616235,,10922
16,2.0,,,,,,,,,,,,,,,,,1736066282.0639973,18.114438369,,11281
17,2.0,,,,,,,,,,,,,,,,,1736066282.1244595,18.17489069,,11324
18,2.0,,,,,,,,,,,,,,,,,1736066282.923673,18.974109426,,11812
19,2.0,,,,,,,,,,,,,,,,,1736066285.8248222,21.875260882,,13732
20,2.0,,,,,,,,,,,,,,,,,1736066287.0883174,23.138754106,,14525
21,2.0,,,,,,,,,,,,,,,,,1736066292.0121043,28.062540325,,17793
22,2.0,,,,,,,,,,,,,,,,,1736066294.5244136,30.685384947,,19441
23,2.0,,,,,,,,,,,,,,,,,1736066295.6079078,31.658347617,,20187
