,planning_depth/game_iter_10,resource/total_planning_depth,_step,_runtime,loss,entropy,resource/total_resource_usage,Win_Rate/Evaluate,resource/width_resource_usage,planning_depth/game_iter_31,Win_Rate/self_play,planning_depth/game_iter_20,resource/width,planning_depth/game_iter_50,resource/depth,resource/width_ratio,planning_depth/game_iter_100,_timestamp,planning_depth/game_iter_1,resource/depth_resource_usage,resource/depth_ratio
0,,2,1738,2.760206451,,,162,,156,,,,78,,3,0.962962963,,1736064945,,6,0.037037037
1,,,2485,3.392312334,,,,,,,,,,,,,,1736064946,2,,
2,,2,4102,4.967216738,,,78,,72,,,,36,,3,0.923076923,,1736064947,,6,0.076923077
3,,2,4722,5.497079069,,,144,,138,,,,69,,3,0.958333333,,1736064948,,6,0.041666667
4,,2,6426,7.02320852,,,138,,132,,,,66,,3,0.956521739,,1736064950,,6,0.043478261
5,,,6852,7.430323497,,,,,,,,,,,,,,1736064950,2,,
6,,,7943,8.415270535,,,186,,,,,,,,,,,1736064951,,,
7,,,8228,8.69495023,,,,,,,,,,,,,,1736064951,2,,
8,,,8983,9.40812094,,,219,,,,,,,,,,,1736064952,,,
9,,,9215,9.62616363,,,36,,,,,,,,,,,1736064952,,,
10,,2,9334,9.925557484,,,219,,213,,,,105,,3,0.97260274,,1736064952,,6,0.02739726
11,,2,9542,10.43828506,,,219,,213,,,,105,,3,0.97260274,,1736064953,,6,0.02739726
12,,2,12650,16.71509181,,,198,,192,,,,96,,3,0.96969697,,1736064959,,6,0.03030303
13,,2,13082,17.56003417,,,192,,186,,,,93,,3,0.96875,,1736064960,,6,0.03125
14,,2,14808,20.97190551,,,213,,207,,,,102,,3,0.971830986,,1736064964,,6,0.028169014
15,,,18644,29.04442268,,,135,,,,,,,,,,,1736064972,,,
16,,2,19311,30.41604545,,,147,,141,,,,69,,3,0.959183673,,1736064973,,6,0.040816327
17,,2,19763,31.36386815,,,87,,81,,,,39,,3,0.931034483,,1736064974,,6,0.068965517
18,,,20106,31.9936478,,,213,,,,,,,,,,,1736064975,,,
19,,2,20481,32.67152196,,,93,,87,,,,42,,3,0.935483871,,1736064975,,6,0.064516129
20,,2,21437,34.49246539,,,108,,102,,,,51,,3,0.944444444,,1736064977,,6,0.055555556
21,,2,21787,35.1037549,,,150,,144,,,,69,,3,0.96,,1736064978,,6,0.04
22,,,21964,35.42048715,,,93,,,,,,,,,,,1736064978,,,
23,,,21972,35.43431568,,,60,,,,,,,,,,,1736064978,,,
24,,2,22231,35.92131093,,,60,,54,,,,27,,3,0.9,,1736064978,,6,0.1
25,,2,22625,36.65553273,,,132,,126,,,,63,,3,0.954545455,,1736064979,,6,0.045454545
26,,2,23178,37.65592336,,,195,,189,,,,93,,3,0.969230769,,1736064980,,6,0.030769231
27,,2,23370,38.0091228,,,84,,78,,,,36,,3,0.928571429,,1736064981,,6,0.071428571
28,,2,25940,42.73584462,,,177,,171,,,,84,,3,0.966101695,,1736064985,,6,0.033898305
29,,,26207,43.22412422,,,156,,,,,,,,,,,1736064986,,,
30,,,26231,43.26672783,,,84,,,,,,,,,,,1736064986,,,
31,,,28435,47.4876723,,,78,,,,,,,,,,,1736064990,,,
32,,,30136,50.61690766,,,189,,,,,,,,,,,1736064993,,,
33,,,31628,53.36826501,,,78,,,,,,,,,,,1736064996,,,
34,,,35696,60.83916417,,,147,,,,,,,,,,,1736065003,,,
35,,,36807,62.95064907,,,177,,,,,,,,,,,1736065005,,,
36,,,37985,65.10273301,,,195,,,,,,,,,,,1736065008,,,
37,,,40015,68.90917396,,,87,,,,,,,,,,,1736065011,,,
38,,2,43505,75.42565478,,,201,,195,,,,96,,3,0.970149254,,1736065018,,6,0.029850746
39,,2,48769,85.28289395,,,177,,171,,,,84,,3,0.966101695,,1736065028,,6,0.033898305
40,,2,49181,86.13063552,,,27,,21,,,,9,,3,0.777777778,,1736065029,,6,0.222222222
41,,,51753,90.80322344,,,93,,,,,,,,,,,1736065033,,,
42,,2,53720,94.43036111,,,21,,15,,,,6,,3,0.714285714,,1736065037,,6,0.285714286
43,,,55581,97.87618073,,,51,,,,,,,,,,,1736065040,,,
44,,2,55894,98.46914117,,,195,,189,,,,93,,3,0.969230769,,1736065041,,6,0.030769231
45,,,56093,98.83044628,,,33,,,,,,,,,,,1736065041,,,
46,,2,59426,105.1364808,,,117,,111,,,,54,,3,0.948717949,,1736065048,,6,0.051282051
47,,,59719,105.7290034,,,33,,,,,,,,,,,1736065048,,,
48,,2,61981,109.8261226,,,177,,171,,,,84,,3,0.966101695,,1736065052,,6,0.033898305
49,,2,62681,111.0951219,,,57,,51,,,,24,,3,0.894736842,,1736065054,,6,0.105263158
50,,,65140,115.6051368,,,207,,,,,,,,,,,1736065058,,,
51,,2,69222,122.626829,,,129,,123,,,,60,,3,0.953488372,,1736065065,,6,0.046511628
52,,,70575,123.9077385,,,117,,,,,,,,,,,1736065066,,,
53,,2,75290,128.3249859,,,99,,93,,,,45,,3,0.939393939,,1736065071,,6,0.060606061
54,,,76147,129.2989756,,,159,,,,,,,,,,,1736065072,,,
55,2,,77333,130.4370052,,,,,,,,,,,,,,1736065073,,,
56,1,,78532,131.5731111,,,,,,,,,,,,,,1736065074,,,
57,,2,80052,133.3325766,,,189,,183,,,,90,,3,0.968253968,,1736065076,,6,0.031746032
58,,,81788,136.5232488,,,207,,,,,,,,,,,1736065079,,,
59,,,81858,136.6552651,,,177,,,,,,,,,,,1736065079,,,
60,,,82982,138.7196791,,,135,,,,,,,,,,,1736065081,,,
61,,,84108,140.8691456,,,117,,,,,,,,,,,1736065083,,,
62,,,84594,141.7592412,,,177,,,,,,,,,,,1736065084,,,
63,,2,86012,144.492901,,,201,,195,,,,96,,3,0.970149254,,1736065087,,6,0.029850746
64,,2,86868,146.0899405,,,117,,111,,,,54,,3,0.948717949,,1736065089,,6,0.051282051
65,,,87785,147.7740648,,,129,,,,,,,,,,,1736065090,,,
66,,2,88798,149.6300152,,,123,,117,,,,57,,3,0.951219512,,1736065092,,6,0.048780488
67,,2,90718,153.3844626,,,84,,78,,,,36,,3,0.928571429,,1736065096,,6,0.071428571
68,,2,90748,153.4394186,,,171,,165,,,,81,,3,0.964912281,,1736065096,,6,0.035087719
69,,,91872,155.5140532,,,111,,,,,,,,,,,1736065098,,,
70,,,94612,160.6179597,,,66,,,,,,,,,,,1736065103,,,
71,,2,97909,166.8066768,,,129,,123,,,,60,,3,0.953488372,,1736065109,,6,0.046511628
72,,2,98249,167.428707,,,189,,183,,,,90,,3,0.968253968,,1736065110,,6,0.031746032
73,,,99195,169.1444265,,,165,,,,,,,,,,,1736065112,,,
74,,2,99302,169.3466472,,,165,,159,,,,78,,3,0.963636364,,1736065112,,6,0.036363636
75,,,99353,169.4412539,,,123,,,,,,,,,,,1736065112,,,
76,,2,99566,169.8375239,,,129,,123,,,,60,,3,0.953488372,,1736065112,,6,0.046511628
77,,,99975,170.5747855,,,201,,,,,,,,,,,1736065113,,,
78,,,104174,178.4163499,,,153,,,,,,,,,,,1736065121,,,
79,,,104200,178.4636268,,,153,,,,,,,,,,,1736065121,,,
80,,,104686,179.3658088,,,177,,,,,,,,,,,1736065122,,,
81,,,105644,181.2247829,,,189,,,,,,,,,,,1736065124,,,
82,,,106280,182.419741,,,171,,,,,,,,,,,1736065125,,,
83,,,107757,185.1411757,,,153,,,,,,,,,,,1736065128,,,
84,,2,107844,185.3018466,,,141,,135,,,,66,,3,0.957446809,,1736065128,,6,0.042553191
85,,,108645,186.7683777,,,135,,,,,,,,,,,1736065129,,,
86,,,110077,189.3823647,,,123,,,,,,,,,,,1736065132,,,
87,,,110765,190.740953,,,207,,,,,,,,,,,1736065133,,,
88,,,111135,191.4261751,,,105,,,,,,,,,,,1736065134,,,
89,,,111607,192.2971617,,,201,,,,,,,,,,,1736065135,,,
90,,,113762,196.2559474,,,165,,,,,,,,,,,1736065139,,,
91,,,114334,197.3119902,,,213,,,,,,,,,,,1736065140,,,
92,,2,118138,204.3759258,,,147,,141,,,,69,,3,0.959183673,,1736065147,,6,0.040816327
93,,,120879,209.4641046,,,117,,,,,,,,,,,1736065152,,,
94,,,121193,210.0487666,,,183,,,,,,,,,,,1736065153,,,
95,,2,124157,215.733113,,,153,,147,,,,72,,3,0.960784314,,1736065158,,6,0.039215686
96,,,124406,216.1970671,,,165,,,,,,,,,,,1736065159,,,
97,,2,126553,220.2632439,,,195,,189,,,,93,,3,0.969230769,,1736065163,,6,0.030769231
98,,2,127405,221.8458946,,,147,,141,,,,69,,3,0.959183673,,1736065164,,6,0.040816327
99,,2,127469,221.9649355,,,219,,213,,,,105,,3,0.97260274,,1736065164,,6,0.02739726
100,,,128811,223.4654285,,,,,,,,2,,,,,,1736065166,,,
101,,,129503,224.1203498,,,,,,,,2,,,,,,1736065167,,,
102,,2,130012,224.6056258,,,171,,165,,,,81,,3,0.964912281,,1736065167,,6,0.035087719
103,,,133535,228.1846398,,,,,,,,2,,,,,,1736065171,,,
104,,2,134276,228.8864906,,,108,,102,,,,48,,3,0.944444444,,1736065171,,6,0.055555556
105,,,134498,229.0925628,,,,,,,,1,,,,,,1736065172,,,
106,,,135542,230.0760932,,,,,,,,1,,,,,,1736065173,,,
107,,,135847,230.3615134,,,,,,,,2,,,,,,1736065173,,,
108,,,140578,238.5066687,,,165,,,,,,,,,,,1736065181,,,
109,,,140948,239.1998071,,,195,,,,,,,,,,,1736065182,,,
110,,2,141111,239.5068616,,,159,,153,,,,75,,3,0.962264151,,1736065182,,6,0.037735849
111,,2,144590,246.0572572,,,141,,135,,,,66,,3,0.957446809,,1736065189,,6,0.042553191
112,,,144709,246.2800377,,,195,,,,,,,,,,,1736065189,,,
113,,2,146700,250.1196031,,,66,,60,,,,27,,3,0.909090909,,1736065193,,6,0.090909091
114,,2,147088,250.8061152,,,90,,84,,,,39,,3,0.933333333,,1736065193,,6,0.066666667
115,,,147749,252.0040495,,,90,,,,,,,,,,,1736065195,,,
116,,2,148499,253.3705283,,,219,,213,,,,105,,3,0.97260274,,1736065196,,6,0.02739726
117,,2,149903,255.9297274,,,165,,159,,,,78,,3,0.963636364,,1736065198,,6,0.036363636
118,,,149982,256.0781362,,,129,,,,,,,,,,,1736065199,,,
119,,2,151847,259.4746677,,,72,,66,,,,33,,3,0.916666667,,1736065202,,6,0.083333333
120,,,151912,259.5920756,,,78,,,,,,,,,,,1736065202,,,
121,,,152516,260.7133456,,,48,,,,,,,,,,,1736065203,,,
122,,2,152659,260.9778218,,,213,,207,,,,102,,3,0.971830986,,1736065204,,6,0.028169014
123,,,152722,261.0909709,,,24,,,,,,,,,,,1736065204,,,
124,,2,153467,262.4538523,,,165,,159,,,,78,,3,0.963636364,,1736065205,,6,0.036363636
125,,,157329,269.7680851,,,147,,,,,,,,,,,1736065212,,,
126,,2,158306,271.5782704,,,129,,123,,,,60,,3,0.953488372,,1736065214,,6,0.046511628
127,,,158529,271.9866212,,,111,,,,,,,,,,,1736065215,,,
128,,,158625,272.1661172,,,147,,,,,,,,,,,1736065215,,,
129,,2,160270,275.1874778,,,63,,57,,,,27,,3,0.904761905,,1736065218,,6,0.095238095
130,,2,160758,276.0978454,,,60,,54,,,,27,,3,0.9,,1736065219,,6,0.1
131,,2,162462,279.4472361,,,75,,69,,,,33,,3,0.92,,1736065222,,6,0.08
132,,2,163257,280.9331826,,,90,,84,,,,42,,3,0.933333333,,1736065223,,6,0.066666667
133,,2,163507,281.4009727,,,90,,84,,,,42,,3,0.933333333,,1736065224,,6,0.066666667
134,,2,165187,284.5677563,,,153,,147,,,,72,,3,0.960784314,,1736065227,,6,0.039215686
135,,,165952,286.0101698,,,111,,,,,,,,,,,1736065229,,,
136,,2,167661,289.252928,,,78,,72,,,,36,,3,0.923076923,,1736065232,,6,0.076923077
137,,2,168979,291.7721836,,,183,,177,,,,87,,3,0.967213115,,1736065234,,6,0.032786885
138,,2,170224,294.0522485,,,201,,195,,,,96,,3,0.970149254,,1736065237,,6,0.029850746
139,,2,170720,294.9785051,,,213,,207,,,,102,,3,0.971830986,,1736065238,,6,0.028169014
140,,,170859,295.2370647,,,99,,,,,,,,,,,1736065238,,,
141,,2,171284,296.0216041,,,171,,165,,,,81,,3,0.964912281,,1736065239,,6,0.035087719
142,,2,174846,302.7490401,,,183,,177,,,,87,,3,0.967213115,,1736065245,,6,0.032786885
143,,2,175364,303.6882588,,,189,,183,,,,90,,3,0.968253968,,1736065246,,6,0.031746032
144,,2,177215,307.1280941,,,96,,90,,,,45,,3,0.9375,,1736065250,,6,0.0625
145,,,177882,308.37035,,,129,,,,,,,,,,,1736065251,,,
146,,2,179425,311.2413127,,,177,,171,,,,84,,3,0.966101695,,1736065254,,6,0.033898305
147,,,183173,318.2677189,,,129,,,,,,,,,,,1736065261,,,
148,,,183267,318.443034,,,171,,,,,,,,,,,1736065261,,,
149,,,184209,320.2952925,,,153,,,,,,,,,,,1736065263,,,
150,,,186159,324.0193651,,,183,,,,,,,,,,,1736065267,,,
151,,2,186352,324.3759465,,,153,,147,,,,72,,3,0.960784314,,1736065267,,6,0.039215686
152,,2,190051,331.1605696,,,99,,93,,,,45,,3,0.939393939,,1736065274,,6,0.060606061
153,,2,191389,333.6269704,,,87,,81,,,,39,,3,0.931034483,,1736065276,,6,0.068965517
154,,2,192101,335.0564832,,,33,,27,,,,12,,3,0.818181818,,1736065278,,6,0.181818182
155,,2,193265,337.1842127,,,111,,105,,,,51,,3,0.945945946,,1736065280,,6,0.054054054
156,,,197353,344.7742299,,,33,,,,,,,,,,,1736065287,,,
157,,2,197386,344.8371004,,,141,,135,,,,66,,3,0.957446809,,1736065287,,6,0.042553191
158,,,201431,352.3431462,,,135,,,,,,,,,,,1736065295,,,
159,,,201441,352.3638411,,,102,,,,,,,,,,,1736065295,,,
160,,,202735,354.577265,,,,,,1,,,,,,,,1736065297,,,
161,,,203278,355.098845,,,108,,,,,,,,,,,1736065298,,,
162,,2,203697,355.4967181,,,78,,72,,,,36,,3,0.923076923,,1736065298,,6,0.076923077
163,,,203842,355.6360927,,,165,,,,,,,,,,,1736065298,,,
164,,,206023,357.7236652,,,,,,1,,,,,,,,1736065300,,,
165,,,206151,357.8455943,,,,,,1,,,,,,,,1736065300,,,
166,,,206531,358.2051448,,,,,,1,,,,,,,,1736065301,,,
167,,,206602,358.2707379,,,72,,,,,,,,,,,1736065301,,,
168,,2,207325,358.9825574,,,189,,183,,,,90,,3,0.968253968,,1736065302,,6,0.031746032
