,resource/depth_ratio,resource/depth,resource/width_ratio,Win_Rate/Evaluate,_step,loss,resource/width,planning_depth/game_iter_1,planning_depth/game_iter_100,planning_depth/game_iter_50,resource/depth_resource_usage,resource/total_planning_depth,resource/total_resource_usage,planning_depth/game_iter_20,_runtime,planning_depth/game_iter_10,resource/width_resource_usage,entropy,_timestamp,Win_Rate/self_play,planning_depth/game_iter_31
0,,,,,1856,,,3.0,,,,,,,5.354279227,,,,1736072552.642077,,
1,,,,,2031,,,2.0,,,,,,,5.715433271,,,,1736072553.0032353,,
2,,,,,3110,,,3.0,,,,,,,7.973217143,,,,1736072555.261022,,
3,,,,,7170,,,3.0,,,,,,,16.315953145,,,,1736072563.60375,,
4,,,,,8656,,,3.0,,,,,,,19.253085283,,,,1736072566.540895,,
5,,,,,9788,,,2.0,,,,,,,21.559694843,,,,1736072568.847501,,
6,,,,,9791,,,2.0,,,,,,,21.56656106,,,,1736072568.8543644,,
7,,,,,9901,,,2.0,,,,,,,21.774588478,,,,1736072569.062281,,
8,,,,,10977,,,2.0,,,,,,,23.9784899,,,,1736072571.2663023,,
9,,,,,12292,,,2.0,,,,,,,26.664767379,,,,1736072573.9525814,,
10,,,,,16034,,,2.0,,,,,,,34.235765327,,,,1736072581.5235748,,
11,,,,,16737,,,3.0,,,,,,,35.720251458999996,,,,1736072583.0080526,,
12,,,,,18744,,,2.0,,,,,,,39.886211775,,,,1736072587.1740215,,
13,,,,,19595,,,3.0,,,,,,,41.648312236,,,,1736072588.936117,,
14,,,,,19686,,,3.0,,,,,,,41.827267918,,,,1736072589.115079,,
15,,,,,21263,,,3.0,,,,,,,45.086925636,,,,1736072592.374722,,
16,,,,,23944,,,3.0,,,,,,,50.678409289,,,,1736072597.966212,,
17,,,,,25293,,,2.0,,,,,,,53.441323973,,,,1736072600.7291145,,
18,,,,,25940,,,3.0,,,,,,,54.818783245,,,,1736072602.1065938,,
19,,,,,33266,,,3.0,,,,,,,70.108770609,,,,1736072617.3965635,,
20,,,,,33649,,,2.0,,,,,,,70.889195107,,,,1736072618.1770046,,
21,,,,,35917,,,3.0,,,,,,,75.813913324,,,,1736072622.8705091,,
22,,,,,36487,,,3.0,,,,,,,76.766784075,,,,1736072624.054592,,
23,,,,,37234,,,2.0,,,,,,,78.366750653,,,,1736072625.654564,,
24,,,,,37765,,,2.0,,,,,,,79.376139841,,,,1736072626.6639402,,
25,,,,,39828,,,3.0,,,,,,,83.744821775,,,,1736072631.032636,,
26,,,,,40041,,,2.0,,,,,,,84.273287722,,,,1736072631.5610995,,
27,,,,,40065,,,2.0,,,,,,,84.31881204,,,,1736072631.6066198,,
28,,,,,44236,,,3.0,,,,,,,93.056047842,,,,1736072640.343851,,
29,,,,,44449,,,3.0,,,,,,,93.600556118,,,,1736072640.8883648,,
30,,,,,44824,,,1.0,,,,,,,94.331521543,,,,1736072641.619334,,
31,,,,,45050,,,2.0,,,,,,,94.78209183,,,,1736072642.069906,,
32,,,,,48158,,,2.0,,,,,,,101.41593658,,,,1736072648.7037466,,
33,,,,,49094,,,2.0,,,,,,,103.437303244,,,,1736072650.7251155,,
34,,,,,53784,,,2.0,,,,,,,113.253305079,,,,1736072660.5411084,,
35,,,,,55537,,,2.0,,,,,,,116.964925785,,,,1736072664.2527366,,
36,,,,,57891,,,2.0,,,,,,,121.922261723,,,,1736072669.2100692,,
37,,,,,58898,,,3.0,,,,,,,123.986830436,,,,1736072671.2746353,,
38,,,,,61741,,,2.0,,,,,,,129.943588022,,,,1736072677.2313764,,
39,,,,,61842,,,2.0,,,,,,,130.148975143,,,,1736072677.4367833,,
40,,,,,62940,,,3.0,,,,,,,132.448292769,,,,1736072679.7360978,,
41,,,,,64401,,,2.0,,,,,,,135.798081997,,,,1736072682.8901222,,
42,,,,,66842,,,2.0,,,,,,,140.623256035,,,,1736072687.9110627,,
43,,,,,67823,,,2.0,,,,,,,142.675121964,,,,1736072689.9629338,,
44,,,,,68995,,,3.0,,,,,,,145.145124461,,,,1736072692.4329355,,
45,,,,,70184,,,3.0,,,,,,,147.462915686,,,,1736072694.7507272,,
46,,,,,70507,,,3.0,,,,,,,148.2702536,,,,1736072695.5580616,,
47,,,,,72624,,,3.0,,,,,,,152.657853435,,,,1736072699.945661,,
48,,,,,73649,,,2.0,,,,,,,154.762540561,,,,1736072702.0503561,,
49,,,,,74868,,,3.0,,,,,,,157.286300621,,,,1736072704.5741043,,
50,,,,,76833,,,2.0,,,,,,,161.29535608,,,,1736072708.5831661,,
51,,,,,81307,,,2.0,,,,,,,170.604720612,,,,1736072717.8825364,,
52,,,,,84100,,,2.0,,,,,,,176.395403411,,,,1736072723.6832047,,
53,,,,,88037,,,,,,,,46845.0,,292.491210678,,,,1736072839.7789907,,
54,,,,,88111,,,,,,,,27027.0,,296.214643676,,,,1736072843.5024369,,
55,0.042735042735042736,27.0,0.9572649572649573,,89544,,594.0,,,,1350.0,50.0,31590.0,,368.978604261,,30240.0,,1736072916.2662647,,
56,,,,,92502,,,,,,,,38610.0,,517.488710554,,,,1736073064.7765005,,
57,,,,,93968,,,,,,,,28944.0,,590.106174628,,,,1736073137.3939512,,
58,,,,,94804,,,,,,,,29700.0,,632.118277631,,,,1736073179.406039,,
59,,,,,97241,,,,,,,,41364.0,,754.214869862,,,,1736073301.5026586,,
60,,,,,99440,,,,,,,,48276.0,,866.062009846,,,,1736073413.3498287,,
61,0.02965599051008304,27.0,0.970344009489917,,100153,,864.0,,,,1350.0,50.0,45522.0,,902.15901918,,44172.0,,1736073449.446762,,
62,0.03263707571801567,27.0,0.9673629242819843,,105252,,783.0,,,,1350.0,50.0,41364.0,,1157.34206279,,40014.0,,1736073704.629725,,
63,0.03765060240963856,27.0,0.9623493975903614,,105492,,675.0,,,,1350.0,50.0,35856.0,,1169.395147448,,34506.0,,1736073716.6828527,,
64,,,,,105899,,,,,,,,46899.0,,1189.65745508,,,,1736073736.9452145,,
65,,,,,109534,,,,,,,,42768.0,,1371.882469859,,,,1736073919.1702363,,
